pointid,bundesland,probenahme_monat,probenahme_jahr,xcoord,ycoord,bodenklimaraum_name,landnutzung,bze_moor,hauptbodentyp,bodenvartypsub,grundwastufe,grundwastand,moormaechtigkeit,torfmaechtigkeit,neigung,exposition,woelbung,reliefformtyp,lageimrelief,kv_0_30,kv_30_100,profile_picture
1318,BB,4,2017,745750.4799,5838588.098,sandige diluviale Böden des nordostdeutschen Binnentieflandes,A,0,BB,LFd-BB,0,>200,0,0,N2.2,SW,GG,H,O,28.52,7.28,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1318_Z_1.GIF
1319,BB,8,2016,753027.0343,5835395.622,sandige diluviale Böden des nordostdeutschen Binnentieflandes,A,0,LFd,g2.rBB-LFd,0,>200,0,0,N1,WW,VG,H,U,29.8,6.74,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1319_Z_1.GIF
1323,BE,10,2017,788683.2599,5837293.915,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,g4.sBBn,GWS6,185,0,0,N2,SS,GX,TH,Z,37.83,20.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BE_1323_Z_1.GIF
1325,BE,8,2017,802062.2147,5834170.333,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,GG,BB-GG,GWS3,70,0,0,N0,,GG,TS,Z,52.84,16.39,https://atlas.thuenen.de/webspace/bze_profilbilder/BE_1325_Z_1.GIF
1327,BB,3,2017,818313.772,5834150.445,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,PP,g2.rBB-PP,0,>200,0,0,N1,EE,GG,TS,Z,31.34,10.63,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1327_Z_1.GIF
1329,BB,8,2017,834203.517,5839636.244,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,dBBn,0,>200,0,0,N0,,GG,TS,Z,30.46,3.44,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1329_Z_1.GIF
1331,BB,3,2017,849481.466,5837702.65,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,RZ,SH-RZ,0,>200,0,0,N3.2,SW,GG,H,Z,23.94,6.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1331_Z_1.GIF
1333,BB,3,2017,867520.6068,5836983.579,Oderbruch,A,0,ZZ,>GGa-SS,GWS4,150,0,0,N0,,GG,TSF,R,41.85,72.87,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1333_Z_1.GIF
1334,BB,4,2017,873507.4619,5838458.823,Oderbruch,A,0,GG,GGa,GWS4,150,0,0,N0,,GG,T,Z,50.5,26.29,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1334_Z_1.GIF
1335,NI,11,2011,344609.9746,5823425.215,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,PP,PPn,0,>200,0,0,N2.1,SW,XX,HR,M,83.01,72.08,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1335_Z_1.GIF
1336,NI,11,2011,352415.6916,5824040.786,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YE,YEn,GWS6,>200,0,0,N2.1,SW,GV,H,O,109.19,219.22,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1336_Z_1.GIF
1337,NI,11,2011,361027.8619,5824745.958,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YE,YE/PP,GWS5,180,0,0,N1,NW,XG,KS,Z,67.36,110.7,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1337_Z_1.GIF
1338,NI,11,2011,368649.1861,5822958.211,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,GG,p2GGn,GWS3,102,0,0,N0,,GG,TS,T,36.26,24.58,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1338_Z_1.GIF
1340,NI,10,2011,386532.392,5823434.167,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YU,GG-PP-YU,GWS3,75,0,0,N0.1,,XX,TS,Z,82.58,56.9,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1340_Z_1.GIF
1342,NI,10,2011,405664.7063,5824200.273,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YU,PP-YU,GWS5,143,0,0,N0,,GG,T,Z,69.4,149.35,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1342_Z_1.GIF
1344,NI,8,2011,419557.1858,5821496.398,mittleres Niedersachsen / leichte Lehmböden,A,0,SS,g4.rSSn,0,>200,0,0,N1,EE,VV,HF,U,83.73,18.69,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1344_Z_1.GIF
1345,NI,5,2011,425503.4957,5823803.693,mittleres Niedersachsen / leichte Lehmböden,G,0,YE,YE/LL,0,>200,0,0,N0.1,,GG,TS,Z,67.72,25.47,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1345_Z_1.GIF
1348,NI,5,2011,449143.0189,5823939.112,mittleres Niedersachsen / leichte Lehmböden,A,0,YE,YE/BB,GWS6,>200,0,0,N0,,GG,TS,Z,164.95,65.6,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1348_Z_1.GIF
1349,NI,4,2011,461377.3584,5824747.46,mittleres Niedersachsen / leichte Lehmböden,A,0,YU,GM-YU,GWS5.1,120,0,0,N0,,GG,TS,Z,93.9,106.28,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1349_Z_1.GIF
1351,NI,11,2011,475218.0721,5822256.722,mittleres Niedersachsen / leichte Lehmböden,A,0,YU,S PP-YU,GWS4,134,0,0,N1,SW,XX,THM,R,83.69,156.29,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1351_Z_1.GIF
1354,NI,8,2011,498446.5633,5824889.222,Lüneburger Heide / Sandige Böden,A,0,BB,g2.rBBn,0,>200,0,0,N0.2,EE,GG,V,R,56.48,16.21,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1354_Z_1.GIF
1358,NI,6,2011,531511.2648,5824819.628,Lüneburger Heide / Sandige Böden,A,0,BB,BBn,0,>200,0,0,N0,,GG,KS,Z,42.87,7.92,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1358_Z_1.GIF
1363,NI,10,2011,571773.9633,5825318.498,Lüneburger Heide / Sandige Böden,A,0,PP,vGG-PP,GWS4,158,0,0,N0,,GG,TS,Z,135.68,51.33,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1363_Z_1.GIF
1369,NI,5,2011,617185.1281,5826026.702,Lüneburger Heide / Sandige Böden,A,0,PP,vPPn,0,>200,0,0,N1,NE,GG,TX,Z,71.55,18.18,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1369_Z_1.GIF
1371,ST,4,2014,634807.8361,5825143.932,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,A,0,AB,GG-AB,GWS5.1,165,0,0,N2,NN,VG,THM,U,43.65,50.28,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1371_Z_1.GIF
1372,ST,10,2014,642763.4665,5829359.784,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,A,0,BB,g4.vBBn,GWS6,NA,0,0,N0.1,,GG,V,Z,54.25,26.22,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1372_Z_1.GIF
1375,ST,2,2014,667048.2706,5827247.302,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,A,0,LF,g2.vLFn,GWS4,135,0,0,N1,WW,GG,V,Z,31.84,7.35,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1375_Z_1.GIF
1377,ST,3,2014,680902.6087,5828737.739,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,S LF-BB,0,>200,0,0,N2,NW,XX,H,O,27.97,14.09,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1377_Z_1.GIF
1378,ST,8,2014,692760.5838,5825740.186,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,LF-BB,0,>200,0,0,N1,NN,GV,H,M,30.89,20.75,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1378_Z_1.GIF
1379,ST,8,2014,697017.0653,5828459.203,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,SS,BB-SS,0,NA,0,0,N0.1,,GG,V,Z,31.95,17.32,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1379_Z_1.GIF
1380,ST,4,2016,704176.4471,5826103.831,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,GG,sAB-GG,GWS3,100,0,0,N0,,GG,TSF,Z,60.54,16.55,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1380_Z_1.GIF
1382,BB,8,2016,722878.7075,5827293.534,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,SS,rGGa-GGa-aSS,GWS3,125,0,0,N0,,GG,TS,Z,74.87,26.75,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1382_Z_1.GIF
1387,BB,10,2017,760587.0119,5829700.01,sandige diluviale Böden des nordostdeutschen Binnentieflandes,A,0,BB,r.g4.l.vBBn,GWS5.2,>200,0,0,N0.2,NE,GG,H,U,44.13,20.96,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1387_Z_1.GIF
1389,BB,12,2016,777637.891,5829617.021,trocken-warme diluviale Böden des ostdeutschen Tieflandes,G,0,GG,SS-rGG,0,>200,0,0,N0,,GG,V,Z,91.31,22.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1389_Z_1.GIF
1392,BE,6,2017,801773.4322,5826495.132,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,RZ,RZn,0,>200,0,0,N3,SS,GG,H,M,54.4,16.15,https://atlas.thuenen.de/webspace/bze_profilbilder/BE_1392_Z_1.GIF
1398,BB,8,2017,851151.9079,5827347.188,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,eSS-LF,0,>200,0,0,N1,EE,GG,TH,Z,42.36,13.8,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1398_Z_1.GIF
1400,BB,11,2016,868021.3694,5831990.33,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,BB-LF,0,>200,0,0,N1,WW,VG,H,U,29.24,15.33,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1400_Z_1.GIF
1401,BB,4,2017,877049.9778,5831654.644,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,SS,g2AB-rGG-SS,GWS5.1,195,0,0,N0,,GG,T,Z,51.61,41.32,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1401_Z_1.GIF
1402,NI,8,2011,357797.842,5814235.831,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,SS,BB-SS,0,>200,0,0,N2.2,SS,GV,KH,K,48.73,18.34,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1402_Z_1.GIF
1406,NI,3,2012,395059.3999,5816945.462,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,SS,vSSn,0,>200,0,0,N0.1,,GG,V,Z,59.28,24.78,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1406_Z_1.GIF
1408,NI,11,2011,411237.3237,5813442.113,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,GG,PP-GG,GWS4,90,0,0,N0,,GG,TSF,Z,78.8,35.61,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1408_Z_1.GIF
1412,NI,8,2011,440858.9682,5817046.588,mittleres Niedersachsen / leichte Lehmböden,A,0,GG,GGn,GWS4,95,0,0,N2.2,SW,GG,TH,Z,66.57,36.13,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1412_Z_1.GIF
1414,NI,4,2011,457743.7097,5818562.491,mittleres Niedersachsen / leichte Lehmböden,G,1,KV,KVn,GWS3,80,200,38,N0,,GG,V,0,418.78,320.81,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1414_Z_1.GIF
1415,NW,10,2012,468802.0301,5818354.026,Lüneburger Heide / Sandige Böden,G,1,YU,PP-GH-YU,GWS4,105,54,54,N0,,GG,TSF,Z,229.69,181.21,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1415_Z_1.GIF
1416,NW,10,2012,476832.349,5816698.067,Lüneburger Heide / Sandige Böden,A,0,YU,GG-PP-YU,GWS4,110,0,0,N0,,GG,TSF,Z,103.09,166.91,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1416_Z_1.GIF
1418,NI,4,2012,490991.3219,5815788.553,Lüneburger Heide / Sandige Böden,G,0,PP,GG-PP,0,>200,0,0,N0.1,0,GG,TSF,Z,79.16,8.25,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1418_Z_1.GIF
1419,NI,6,2011,499525.6301,5817773.312,Lüneburger Heide / Sandige Böden,G,0,BB,g2BBn,GWS5,200,0,0,N0.1,,GG,TSF,Z,66.21,43.24,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1419_Z_1.GIF
1428,NI,6,2011,571625.5723,5816724.556,Lüneburger Heide / Sandige Böden,G,0,YU,GG-YU,GWS5,175,0,0,N0,,GG,TS,Z,97.38,38.08,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1428_Z_1.GIF
1430,NI,8,2011,586776.6244,5819289.143,Lüneburger Heide / Sandige Böden,A,0,GG,GGn,GWS3,126,0,0,N0,,GG,TSF,Z,72.1,76.49,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1430_Z_1.GIF
1431,NI,4,2011,592568.6761,5818143.579,Lüneburger Heide / Sandige Böden,A,0,PP,vGG-PP,0,NA,0,0,N0.1,,GG,TS,T,91.66,7.81,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1431_Z_1.GIF
1433,NI,5,2011,612003.7902,5820597.697,Lüneburger Heide / Sandige Böden,A,0,PP,vSS-PP,0,>200,0,0,N0.2,SS,GG,H,M,52.09,15.19,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1433_Z_1.GIF
1434,NI,9,2011,620626.2051,5817045.086,Lüneburger Heide / Sandige Böden,A,0,PP,vBB-PP,GWS6,150,0,0,N0,,GG,TS,Z,47.65,15.02,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1434_Z_1.GIF
1438,ST,3,2014,651155.9776,5821382.232,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,A,0,PP,vGG-PP,GWS4,160,0,0,N0.2,NW,GG,V,Z,52.09,21.54,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1438_Z_1.GIF
1441,ST,11,2017,675395.5985,5819405.937,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,G,0,GG,GGn,GWS3,80,0,0,N0,,GG,TS,Z,67.01,10.67,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1441_Z_1.GIF
1443,ST,4,2014,688658.2375,5819816.907,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,S GG-BB,GWS3,120,0,0,N0.2,WW,GG,T,Z,25.44,9.93,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1443_Z_1.GIF
1444,ST,4,2014,699438.2253,5821965.744,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,GG-BB,GWS5,180,0,0,N0,,GG,TSF,Z,45.1,9.19,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1444_Z_1.GIF
1447,ST,1,2015,725177.8145,5818422.87,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,vBBn,0,>200,0,0,N1,WW,XG,TH,Z,50.75,12,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1447_Z_1.GIF
1448,BB,10,2017,732171.886,5817806.612,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,r.g2BBn,0,>200,0,0,N0,,GG,TS,Z,46.79,15.19,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1448_Z_1.GIF
1450,BB,2,2017,748653.1952,5818515.11,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,RQ,gBB-RQ,GWS4,165,0,0,N0,,GG,TS,Z,36.58,6.23,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1450_Z_1.GIF
1451,BB,10,2016,755192.5811,5818730.497,sandige diluviale Böden des nordostdeutschen Binnentieflandes,A,0,GG,cGG-rAB-GG,GWS4,120,0,0,N0.2,SS,GG,T,R,108.23,42.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1451_Z_1.GIF
1452,BB,5,2017,760844.6492,5820511.355,sandige diluviale Böden des nordostdeutschen Binnentieflandes,G,0,LF,eLFd,0,>200,0,0,N3.1,EE,XG,H,M,37.82,3.02,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1452_Z_1.GIF
1453,BB,4,2017,769225.809,5819941.823,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,eLFd-BB,0,>200,0,0,N2.2,NE,VG,H,U,45.81,12.25,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1453_Z_1.GIF
1457,BE,11,2017,801907.3581,5818801.045,trocken-warme diluviale Böden des ostdeutschen Tieflandes,SO,0,ZZ,>.g2SS-YO/rGG,GWS5.1,190,0,0,N0,,GG,T,Z,129.23,58.03,https://atlas.thuenen.de/webspace/bze_profilbilder/BE_1457_Z_1.GIF
1464,BB,3,2017,858916.3326,5821713.999,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,sLFn,0,>200,0,0,N0.2,SS,GG,H,M,26.3,23.73,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1464_Z_1.GIF
3785,RP,10,2011,392976.3677,5536808.727,"Hunsrück, Westerwald",G,0,BB,SS-BB,0,>200,0,0,N1,NE,GX,KS,Z,69.53,26.69,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3785_Z_1.GIF
1466,BB,11,2016,872351.7826,5822266.565,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,BB-LF,0,>200,0,0,N2,SW,GV,H,M,38.66,20.19,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1466_Z_1.GIF
1467,NI,7,2011,371399.5125,5805998.858,südwestliches Weser-Ems-Gebiet / sandige Böden,G,0,YE,GG-YE,GWS3,110,0,0,N0,,GG,TS,Z,85.5,23.37,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1467_Z_1.GIF
1468,NI,12,2011,379422.2206,5805539.286,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YU,GGe-PP-YU,GWS3,95,0,0,N0.1,,XX,KSF,Z,97.64,73.96,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1468_Z_1.GIF
1471,NI,8,2012,401515.9926,5806791.821,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YU,GG-YU,GWS4,115,0,0,N0,,GG,TSF,Z,71.24,69.89,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1471_Z_1.GIF
1472,NW,3,2013,410968.9587,5805153.009,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,GG,vPP-GG,GWS3,70,0,0,N0,,GG,V,T,89.07,17.08,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1472_Z_1.GIF
1474,NI,10,2011,427679.6936,5808479.559,mittleres Niedersachsen / leichte Lehmböden,A,0,BB,BBn,0,>200,0,0,N2.2,NW,GG,KHR,R,78.68,38.26,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1474_Z_1.GIF
1477,NI,10,2011,452499.946,5807775.407,mittleres Niedersachsen / leichte Lehmböden,A,0,PP,vGG-PP,GWS4,160,0,0,N0,,GG,TS,Z,225.6,109.55,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1477_Z_1.GIF
1478,NW,12,2012,460510.9409,5809691.571,Lüneburger Heide / Sandige Böden,A,0,SS,SSn,0,NA,0,0,N0,,GG,TSF,Z,74.94,4.39,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1478_Z_1.GIF
1480,NW,10,2012,477264.753,5808641.031,Lüneburger Heide / Sandige Böden,A,0,GG,GGn,GWS4,120,0,0,N0,,GG,TSF,Z,150.0,66.49,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1480_Z_1.GIF
1484,NW,10,2012,505264.2805,5808694.812,Lüneburger Heide / Sandige Böden,A,0,GG,GGn,GWS4,100,0,0,N2,NW,GG,HF,Z,116.94,34.08,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1484_Z_1.GIF
1486,NI,10,2011,521577.3882,5806766.766,Südhannover / Lehmböden,A,0,SS,BB-SS,0,>200,0,0,N0,,GG,KSF,Z,47.42,27.21,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1486_Z_1.GIF
1488,NI,8,2012,541082.0545,5807859.253,Lüneburger Heide / Sandige Böden,A,0,BB,vBBn,0,>200,0,0,N0.2,NN,GG,TXF,Z,64.29,26.9,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1488_Z_1.GIF
1490,NI,9,2011,553938.9475,5811641.398,Lüneburger Heide / Sandige Böden,SO,0,ZZ,>YK/GGe,GWS5,140,0,0,N0,,GG,TSF,Z,139.86,116.22,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1490_Z_1.GIF
1493,NI,10,2011,578328.3725,5812197.44,Lüneburger Heide / Sandige Böden,A,0,YU,BB-YU,0,>200,0,0,N0,,GG,TS,Z,30.83,35.51,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1493_Z_1.GIF
1495,NI,4,2011,593028.4217,5811818.802,Lüneburger Heide / Sandige Böden,A,0,PP,vGGe-PP,GWS4,80,0,0,N0,,GG,TS,R,66.14,56.91,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1495_Z_1.GIF
1496,NI,8,2011,603164.6121,5809935.284,Lüneburger Heide / Sandige Böden,A,0,BB,S GG-BB,GWS4,110,0,0,N1,NE,GG,THF,Z,42.72,11.59,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1496_Z_1.GIF
1497,NI,4,2011,611590.35,5811713.781,Lüneburger Heide / Sandige Böden,A,0,GG,vPP-GG,GWS4,90,0,0,N0,,GG,TS,Z,118.93,49.07,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1497_Z_1.GIF
1503,ST,3,2014,659546.5585,5810555.347,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,A,0,BB,g.vPP-BB,0,NA,0,0,N0.1,,GG,V,Z,46.67,15.56,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1503_Z_1.GIF
1504,ST,2,2014,668026.4577,5810675.131,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen,G,0,GG,GGh,GWS3,100,0,0,N0.1,,XX,T,T,98.14,42.79,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1504_Z_1.GIF
1505,ST,4,2014,676157.8321,5813318.239,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,LF-SS-BB,0,>200,0,0,N2.2,SS,GX,H,U,32.54,7.35,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1505_Z_1.GIF
1507,ST,10,2014,692339.2319,5810075.769,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,GGa,GGe-GGa,GWS4,115,0,0,N0,,GG,V,Z,46.17,9.13,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1507_Z_1.GIF
1508,ST,4,2014,699477.0258,5813984.22,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,GGe-BB,GWS3,85,0,0,N0.1,,GX,V,Z,30.22,3.82,https://atlas.thuenen.de/webspace/bze_profilbilder/ST_1508_Z_1.GIF
1517,BB,3,2017,773500.0219,5813177.503,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,GGw,GGh-GGw,GWS4,160,0,0,N0,,GG,TS,Z,75.99,18.91,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1517_Z_1.GIF
1520,BB,12,2016,793559.9153,5811502.568,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,BB-LF,0,>200,0,0,N1,SW,GG,TS,Z,73.35,15.3,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1520_Z_1.GIF
1521,BB,3,2017,802137.8463,5814782.691,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,vLFn,0,>200,0,0,N0,,GG,TS,Z,77.92,24.7,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1521_Z_1.GIF
1522,BB,11,2017,811174.3386,5815322.952,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LFd,g2.sBB-LFd,GWS5.2,NA,0,0,N0.2,SW,GG,T,Z,32.5,11.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1522_Z_1.GIF
1524,BB,12,2016,825927.7638,5811913.621,trocken-warme diluviale Böden des ostdeutschen Tieflandes,G,0,BB,BBn,0,>200,0,0,N0,,GG,V,R,50.7,8.29,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1524_Z_1.GIF
1527,BB,5,2017,850119.3956,5813774.833,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,BB,g2BBn,GWS5.1,148,0,0,N0,,GG,V,Z,68.12,8.01,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1527_Z_1.GIF
1529,BB,10,2016,868299.7947,5816258.773,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,LF,BB-LF,GWS6,>200,0,0,N1,SS,GX,H,O,32.36,12.91,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1529_Z_1.GIF
1530,BB,5,2017,874603.739,5814227.987,trocken-warme diluviale Böden des ostdeutschen Tieflandes,A,0,SS,SSh,0,>200,0,0,N0,,GG,HF,M,55.39,41.45,https://atlas.thuenen.de/webspace/bze_profilbilder/BB_1530_Z_1.GIF
1531,NI,7,2011,368447.2719,5798361.622,südwestliches Weser-Ems-Gebiet / sandige Böden,A,0,YE,g.rYEn,0,>200,0,0,N1,NE,GX,TS,Z,108.9,116.87,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1531_Z_1.GIF
1537,NW,12,2012,420404.3667,5800693.986,mittleres Niedersachsen / leichte Lehmböden,A,0,GG,GGn,GWS4,100,0,0,N0,,GG,TSF,Z,77.16,7.15,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1537_Z_1.GIF
1540,NI,12,2011,441389.9872,5799610.483,mittleres Niedersachsen / leichte Lehmböden,A,0,SS,SSh,0,>200,0,0,N2.1,SS,XX,HF,M,60.04,19.39,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1540_Z_1.GIF
1543,NW,2,2013,467910.1863,5797629.839,mittleres Niedersachsen / leichte Lehmböden,A,0,SH,GG-SH,GWS4,100,0,0,N0,,GG,V,Z,77.73,18.32,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1543_Z_1.GIF
1545,NW,10,2012,481144.6835,5801147.091,Lüneburger Heide / Sandige Böden,A,0,SS,pBB-SS,0,NA,0,0,N1,NN,GG,H,M,82.43,52.67,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1545_Z_1.GIF
1546,NW,10,2012,490690.2047,5802924.824,Lüneburger Heide / Sandige Böden,A,0,YE,grYEn,0,NA,0,0,N0,,GG,V,Z,56.62,22.11,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1546_Z_1.GIF
1547,NW,10,2012,496548.7649,5801435.362,Lüneburger Heide / Sandige Böden,A,0,BB,BBn,0,>200,0,0,N1,NW,XX,THF,Z,33.61,15.52,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_1547_Z_1.GIF
1551,NI,8,2011,532841.3372,5802423.669,Südhannover / Lehmböden,A,0,LL,LLn,0,>200,0,0,N0,,GG,TS,Z,47.4,30.93,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1551_Z_1.GIF
