PointID,HorizontID,Upper limit,Lower limit,Horizon symbol,Rock fragment fraction,Soil colour,Stones,Stone density,Carbonate class,Organic matter content class,Rooting intensity,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,Soil texture class_x,BD_FS,BD_bulk,FSS,Water content,pH_H2O,EC_H2O,pH_CaCl2,TC,TOC,TIC,TN,County
1598,4.0,54.0,72.0,II; Swd-elCv2,4.021886792,2.5Y 6/2,70,2.65,C5,h1,Wf1,2.2,4.1,6.9,12.1,15.4,16.6,13.1,44.1,42.8,Lt3,1.35,1.37,1036.6,32.03,8.01,146.9,7.49,82.78,24.03,58.75,2.66,NW        
1598,5.0,72.0,100.0,III; cmCv,60.23486102,2.5Y 7/2,80,2.65,C7,h1,Wf1,0.9,1.2,3.0,10.3,14.5,25.8,5.1,50.6,44.3,Tu3,1.45,1.48,639.7,19.29,8.33,92.1,7.6,92.23,5.140000000000001,87.09,0.54,NW        
1598,1.0,0.0,28.0,I; eAp,68.37638976,10YR 4/3,5,2.65,C3,h3,Wf5,0.8,1.1,3.4,13.0,13.7,26.9,5.2,53.7,41.1,Tu3,1.56,1.48,362.7,14.83,8.37,79.6,7.61,95.7,4.17,91.53,0.47,NW        
1598,2.0,28.0,38.0,I; eM,80.0,10YR 4/3,5,2.65,C3,h3,Wf4,1.2,1.3,5.1,15.7,13.8,25.2,7.6,54.7,37.7,Tu3,1.46,1.48,876.0,18.79,8.41,78.4,7.61,97.56,3.5999999999999996,93.96000000000001,0.4,NW        
1599,3.0,38.0,46.0,I; raGo1,0.011320755,2.5Y 6/4,0,2.65,C0,h1,Wf2,0.2,20.0,59.5,13.5,1.6,0.5,79.7,15.6,4.7,Su2,1.27,1.27,1253.4,22.74,5.4,62.7,4.58,26.419999999999998,26.419999999999998,0.0,2.3400000000000003,NW        
1599,4.0,46.0,50.0,I; raGo2,0.043773585,2.5Y 7/3,0,2.65,C0,h0,Wf1,0.2,19.3,58.5,15.3,1.6,0.7,78.0,17.6,4.4,Su2,1.49,1.49,2978.7,14.24,6.32,59.8,5.76,10.780000000000001,10.780000000000001,0.0,1.01,NW        
1599,1.0,0.0,30.0,I; aAh,0.010566038,10YR 4/2,0,2.65,C0,h3,Wf5,0.3,23.9,61.0,9.9,0.8,0.2,85.2,10.9,3.9,Su2,1.55,1.55,1239.9,11.43,6.63,47.9,5.99,4.48,4.48,0.0,0.49,NW        
1599,2.0,30.0,38.0,I; raGo-Bhs,0.0,7.5YR 4/4,0,2.65,C0,h2,Wf3,0.1,16.3,58.7,17.8,1.7,0.0,75.1,19.5,5.4,Sl2,1.61,1.61,1932.0,15.04,6.54,58.1,5.91,2.7,2.7,0.0,0.34,NW        
1599,3.0,38.0,46.0,I; raGo1,0.0,2.5Y 6/4,0,2.65,C0,h1,Wf2,0.0,11.7,82.8,4.3,0.0,0.0,94.5,4.3,1.2,fS,1.59,1.59,3180.0,11.39,6.59,57.2,5.96,1.04,1.04,0.0,0.21000000000000002,NW        
1599,4.0,46.0,50.0,I; raGo2,0.0,2.5Y 7/3,0,2.65,C0,h0,Wf1,0.0,10.4,84.0,2.7,0.0,0.0,94.4,2.7,2.9,fS,1.62,1.62,4860.0,19.09,6.51,66.0,5.96,1.04,1.04,0.0,0.15,NW        
1600,5.0,67.0,130.0,I; ilCv,0.097358491,10YR 7/3,0,2.65,C0,h0,Unknown,1.0,36.3,52.1,5.3,1.4,0.4,89.4,7.1,3.5,fSms,1.18,1.18,1178.6,27.98,5.99,58.8,5.5,46.14,46.14,0.0,2.62,NW        
1600,6.0,130.0,201.0,I; ilC,0.14490566,2.5Y 7/2,0,2.65,C0,h0,Unknown,1.0,34.6,54.0,5.1,1.5,0.5,89.6,7.1,3.3,fSms,1.26,1.27,2513.9,24.87,6.03,64.5,5.52,46.94,46.94,0.0,2.6500000000000004,NW        
1600,1.0,0.0,30.0,I; Ap,0.009811321,10YR 2/1,0,2.65,C0,h4,Wf3,0.8,37.8,56.7,2.0,0.7,0.0,95.3,2.7,2.0,fSms,1.34,1.34,2679.7,17.64,4.74,25.7,4.0,22.54,22.54,0.0,0.8999999999999999,NW        
1600,2.0,30.0,47.0,I; Aeh,0.0,7.5YR 3/1,0,2.65,C0,h3,Wf2,0.4,41.5,57.0,0.5,0.0,0.0,98.9,0.5,0.6,fSms,1.46,1.46,2920.0,6.96,4.89,16.4,4.46,3.23,3.23,0.0,0.19,NW        
1600,3.0,47.0,50.0,I; Bsh,0.0,7.5YR 2.5/1,0,2.65,C0,h3,Wf1,1.2,62.1,36.3,0.0,0.0,0.0,99.6,0.0,0.4,mSfs,1.67,1.67,5010.0,5.23,4.9,16.3,4.56,0.76,0.76,0.0,0.09,NW        
1601,4.0,140.0,200.0,III; fnH,0.009811321,2.5Y 3/1,0,2.65,C0,h7,Unknown,1.5,36.6,36.0,11.8,3.4,1.6,74.1,16.9,9.0,Sl3,1.18,1.18,1178.7,12.18,6.78,94.0,5.78,19.15,19.15,0.0,1.43,NW        
1601,1.0,0.0,34.0,I; R+Ap,0.027169811,10YR 4/3,0,2.65,C0,h3,Wf4,1.0,39.2,36.0,10.3,3.2,1.6,76.2,15.2,8.6,Sl3,1.35,1.35,2699.3,13.06,6.6,143.9,5.91,18.64,18.64,0.0,1.3800000000000001,NW        
1601,2.0,34.0,82.0,I; R+raGo+Bs+Ae,0.008301887,10YR 5/2,0,2.65,C0,h1,Wf2,2.2,51.6,34.4,6.0,1.4,1.1,88.2,8.5,3.3,mSfs,1.45,1.45,2899.8,12.42,6.54,37.1,5.59,10.11,10.11,0.0,0.71,NW        
1601,3.0,82.0,140.0,II; raGo,0.028679245,2.5Y 4/1,0,2.65,C0,h2,Wf0,1.6,49.1,31.7,9.5,1.9,0.9,82.3,12.2,5.5,Sl2,1.49,1.49,2979.1,16.26,6.22,44.9,5.33,7.26,7.26,0.0,0.61,NW        
1601,4.0,140.0,200.0,III; fnH,0.0,2.5Y 3/1,0,2.65,C0,h7,Unknown,4.1,67.5,17.5,5.3,1.2,0.3,89.1,6.8,4.1,mSfs,1.61,1.61,1932.0,19.59,6.35,33.1,5.17,2.56,2.56,0.0,0.42000000000000004,NW        
1601,5.0,33.0,55.0,Unknown,0.019622642,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.3,3.7,22.9,44.0,7.3,4.1,26.9,55.4,17.7,Lu,1.54,1.54,2771.5,25.17,5.6,71.9,4.87,13.93,13.93,0.0,0.96,NW        
1601,1.0,0.0,34.0,I; R+Ap,0.0,10YR 4/3,0,2.65,C0,h3,Wf4,0.4,5.0,22.3,37.4,12.4,6.1,27.7,55.9,16.4,Uls,0.66,1.48,3298.7,53.44,5.06,151.8,4.57,40.519999999999996,40.519999999999996,0.0,2.58,NW        
1601,2.0,34.0,82.0,I; R+raGo+Bs+Ae,0.0,10YR 5/2,0,2.65,C0,h1,Wf2,0.0,0.5,8.5,38.3,15.5,6.3,9.1,60.0,30.9,Tu3,0.35,1.48,1740.4,106.59,4.95,340.0,4.67,123.78,123.78,0.0,7.37,NW        
1602,3.0,72.0,190.0,I; ilCv,0.640754717,10YR 5/6,1,2.65,C0,h0,Wf1,1.3,7.7,10.3,52.8,10.3,2.9,19.3,66.0,14.7,Ut3,1.3,1.31,1291.2,29.55,6.53,58.2,6.16,12.2,12.2,0.0,1.24,NW        
1602,4.0,190.0,201.0,II; elCv,0.510943396,10YR 4/4,1,2.65,C3.3,h0,Unknown,1.5,7.7,10.1,53.0,10.0,4.2,19.2,67.2,13.6,Ut3,1.43,1.44,2834.1,25.83,6.52,70.1,6.12,12.82,12.82,0.0,1.32,NW        
1602,5.0,33.0,55.0,Unknown,0.155471698,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.4,7.5,12.7,55.8,11.8,2.9,20.6,70.5,8.9,Ut2,1.42,1.42,2835.6,22.47,6.8,38.8,6.35,5.4,5.4,0.0,0.67,NW        
1602,6.0,33.0,55.0,Unknown,0.156226415,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.4,5.0,14.8,57.2,11.7,2.7,20.1,71.6,8.3,Ut2,1.35,1.35,2695.8,24.77,6.81,54.6,6.44,4.069999999999999,4.069999999999999,0.0,0.56,NW        
1602,7.0,33.0,55.0,Unknown,0.048301887,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.3,4.8,30.0,43.4,10.3,2.5,35.0,56.2,8.8,Uls,1.4,1.41,4198.0,23.68,6.76,83.5,6.42,2.08,2.08,0.0,0.36,NW        
1606,1.0,0.0,28.0,I; rAp-Ah,0.563773585,5YR 5/3,4,2.65,C0,h3,Unknown,2.0,17.7,20.7,22.9,10.4,7.0,40.4,40.2,19.4,Ls2,1.3,1.31,1289.7,13.97,5.14,96.5,4.67,30.84,30.84,0.0,3.22,NI        
1606,2.0,28.0,50.0,I; Bv,1.252830189,2.5YR 5/4,4,2.65,C0,h1,Unknown,1.5,16.7,19.6,25.7,10.5,6.6,37.7,42.8,19.5,Ls2,1.4,1.42,2755.6,11.53,5.17,48.4,4.58,17.689999999999998,17.689999999999998,0.0,1.94,NI        
1606,3.0,50.0,70.0,I; Sw-Bv,0.084528302,2.5YR 5/6,15,2.65,C0,h0,Unknown,1.1,18.8,19.5,19.6,10.8,6.5,39.4,36.9,23.7,Ls3,1.57,1.57,3135.4,13.29,6.19,38.7,5.4,7.54,7.54,0.0,0.94,NI        
1606,4.0,70.0,100.0,I; Sw-Cv,10.54840891,2.5YR 6/6,8,2.65,C0,h0,Unknown,1.3,30.1,26.1,13.6,5.7,3.4,57.5,22.7,19.8,Ls4,1.61,1.48,2988.6,10.14,6.42,26.7,5.65,2.14,2.14,0.0,0.31,NI        
1606,5.0,100.0,150.0,II; eSd-lCv,4.061288071,2.5YR 4/6,---,2.65,C3,h0,Unknown,2.0,28.1,24.9,10.9,6.9,4.3,54.9,22.0,23.1,Ls4,1.81,1.48,5209.5,14.88,6.78,30.2,6.66,1.1500000000000001,1.1500000000000001,0.0,0.22999999999999998,NI        
1607,1.0,0.0,40.0,I; Ap,0.301132075,10R 3/2,0,2.65,C0,h3,Unknown,0.1,0.4,1.7,65.1,15.2,3.0,2.2,83.3,14.5,Ut3,1.41,1.41,1384.6,17.62,6.27,86.1,5.78,11.23,11.23,0.0,1.1700000000000002,NI        
1607,2.0,40.0,60.0,I; Sw-Bv,0.308679245,10YR 4/6,0,2.65,C0,h0,Unknown,0.1,0.4,1.6,65.5,15.0,3.6,2.1,84.1,13.8,Ut3,1.36,1.36,2705.1,18.24,6.23,78.5,5.77,11.47,11.47,0.0,1.09,NI        
1607,3.0,60.0,130.0,I; Bv+Bbt,0.0,10YR 4/6,0,2.65,C0,h0,Unknown,0.1,0.5,2.4,64.8,15.0,3.7,2.9,83.5,13.6,Ut3,1.39,1.39,1388.4,15.49,6.48,68.4,5.97,10.46,10.46,0.0,1.0,NI        
1607,4.0,130.0,170.0,I; Bv-Cv,0.0,10YR 5/4,0,2.65,C0,h0,Unknown,0.1,0.3,1.5,60.6,16.0,1.9,1.8,78.5,19.7,Ut4,1.6,1.6,1600.0,15.87,6.78,32.8,6.18,2.13,2.13,0.0,0.28,NI        
1607,5.0,170.0,201.0,II; Bj,0.0,10YR 4/4,0,2.65,C0,h0,Unknown,0.1,0.1,1.6,61.3,15.2,2.3,1.8,78.8,19.4,Ut4,1.56,1.56,1560.0,16.27,6.76,33.6,6.25,2.5300000000000002,2.5300000000000002,0.0,0.3,NI        
1607,1.0,0.0,40.0,I; Ap,0.0,10R 3/2,0,2.65,C0,h3,Unknown,0.0,0.2,1.6,66.1,15.2,2.6,1.8,84.0,14.2,Ut3,1.62,1.62,1619.5,16.42,6.84,26.1,6.31,1.37,1.37,0.0,0.19,NI        
1607,2.0,40.0,60.0,I; Sw-Bv,0.0,10YR 4/6,0,2.65,C0,h0,Unknown,0.1,0.3,1.5,67.8,16.1,2.2,1.9,86.1,12.0,Ut3,1.5,1.5,4500.0,19.46,6.82,25.4,6.31,1.29,1.29,0.0,0.18,NI        
1608,3.0,51.0,80.0,II; Cv,5.210549033,10YR 5/2,65,2.65,C0,h1,Wf1,1.5,23.5,27.0,21.0,7.7,5.4,52.0,34.1,13.9,Sl4,1.05,1.48,994.9,16.89,6.34,67.6,5.94,12.549999999999999,12.549999999999999,0.0,1.1400000000000001,NW        
1608,4.0,33.0,55.0,Unknown,12.45292994,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,1.5,25.2,23.7,23.0,8.4,4.8,50.4,36.1,13.5,Sl4,1.39,1.48,2433.8,10.16,6.51,56.5,6.09,12.379999999999999,12.379999999999999,0.0,1.1500000000000001,NW        
1608,1.0,0.0,32.0,I; Ap,17.16109066,10YR 4/3,15,2.65,C0,h3,Wf2,3.4,23.2,24.1,21.1,8.3,5.9,50.7,35.2,14.1,Sl4,1.54,1.48,2551.4,7.0,6.92,41.6,6.46,6.58,6.3100000000000005,0.27,0.6900000000000001,NW        
1608,2.0,32.0,51.0,I; Bv,28.6215095,10YR 4/4,40,2.65,C0,h2,Wf1,14.0,12.7,4.5,3.1,13.5,21.2,31.2,37.8,31.0,Lt2,1.04,1.48,1484.7,11.88,6.96,30.3,6.44,4.95,4.54,0.41000000000000003,0.97,NW        
1609,3.0,32.0,50.0,I; Ahl,0.619622642,10YR 5/4,1,2.65,C0,h2,Wf2,0.6,1.4,3.3,61.2,16.9,3.3,5.2,81.4,13.4,Ut3,1.21,1.21,1176.2,17.27,6.17,331.0,5.85,14.02,14.02,0.0,1.54,NW        
1609,4.0,50.0,70.0,I; Al+Bt,2.249056604,10YR 6/6,1,2.65,C0,h0,Wf2,0.5,1.4,3.3,62.2,16.4,3.1,5.1,81.7,13.2,Ut3,1.34,1.34,2617.9,17.41,6.4,69.3,6.02,13.24,13.24,0.0,1.34,NW        
1609,5.0,70.0,100.0,I; Bt1,0.239245283,10YR 5/6,6,2.65,C0,h0,Wf1,0.3,0.9,2.9,60.4,18.6,2.6,4.1,81.6,14.3,Ut3,1.48,1.48,2952.9,13.17,6.47,36.4,5.99,6.1899999999999995,6.1899999999999995,0.0,0.6900000000000001,NW        
1609,1.0,0.0,8.0,I; Ap1,0.043018868,10YR 4/3,2,2.65,C0,h3,Wf4,0.2,0.5,2.1,58.6,17.7,2.5,2.8,78.7,18.5,Ut4,1.47,1.47,2938.7,15.42,6.5,37.1,6.01,2.48,2.48,0.0,0.38,NW        
1609,2.0,8.0,32.0,I; Ap2,0.757735849,10YR 4/3,3,2.65,C0,h3,Wf3,0.0,0.3,2.2,57.4,18.3,1.6,2.5,77.2,20.3,Ut4,1.56,1.57,4644.5,19.73,6.73,34.2,6.15,1.3800000000000001,1.3800000000000001,0.0,0.28,NW        
1612,3.0,33.0,54.0,I; aM,0.866415094,10YR 4/3,1,2.65,C0,h2,Wf2,2.6,17.4,10.2,43.3,11.7,2.9,30.2,57.9,11.9,Uls,1.29,1.3,1271.7,6.16,5.8,79.7,5.29,14.1,14.1,0.0,1.32,NI        
1612,4.0,54.0,80.0,II; Bt-Sd1,0.981886792,10YR 6/4,1,2.65,C0,h1,Wf1,2.5,17.1,10.3,43.7,12.0,2.5,29.9,58.2,11.9,Uls,1.43,1.44,2831.9,11.05,6.12,64.3,5.53,14.63,14.63,0.0,1.3800000000000001,NI        
1612,5.0,80.0,115.0,II; Bt-Sd2,0.753962264,10YR 5/6,0,2.65,C0,h0,Unknown,1.9,17.1,9.6,44.8,11.9,2.8,28.6,59.5,11.9,Uls,1.51,1.52,2997.2,8.61,6.19,55.4,5.4,9.719999999999999,9.719999999999999,0.0,0.9299999999999999,NI        
1612,1.0,0.0,14.0,I; aAp1,0.840754717,10YR 3/2,1,2.65,C0,h3,Wf4,2.1,15.8,9.3,46.3,12.2,3.4,27.1,61.9,11.0,Uls,1.43,1.44,2836.0,9.53,5.19,80.6,4.57,6.57,6.57,0.0,0.68,NI        
1612,2.0,14.0,33.0,I; aAp2,1.316226415,10YR 3/2,1,2.65,C0,h3,Wf4,2.8,17.2,10.9,41.9,10.5,2.9,30.9,55.3,13.8,Uls,1.49,1.5,1470.4,9.84,5.5,48.0,4.89,2.0100000000000002,2.0100000000000002,0.0,0.3,NI        
1612,3.0,33.0,54.0,I; aM,0.590188679,10YR 4/3,1,2.65,C0,h2,Wf2,3.0,22.7,13.5,34.8,8.6,1.5,39.2,44.9,15.9,Slu,1.6,1.6,3181.1,12.77,5.87,42.8,5.04,1.98,1.98,0.0,0.3,NI        
1613,4.0,80.0,110.0,II; aSw-rGo,0.203773585,2.5Y 7/1,0,2.65,C1,h0,Wf1,1.1,5.7,6.4,51.8,15.1,3.7,13.2,70.6,16.2,Ut3,1.17,1.17,1141.2,31.61,6.07,115.2,5.59,22.970000000000002,22.29,0.68,2.18,NI        
1613,5.0,110.0,170.0,II; aSw-Go,69.24091633,7.5YR 4/3,0,2.65,C2,h0,Unknown,1.8,7.0,6.2,50.5,14.8,3.6,15.1,68.9,16.0,Ut3,1.28,1.48,975.6,26.06,6.19,74.1,5.68,22.639999999999997,21.939999999999998,0.7000000000000001,2.15,NI        
1613,6.0,170.0,201.0,II; aeSd-Gr,47.49207547,GLEY1 6/10GY,0,2.65,C4,h1,Unknown,3.6,10.2,8.8,44.1,14.8,5.2,22.6,64.0,13.4,Uls,0.76,1.66,798.1,8.56,6.74,62.5,6.47,35.94,35.3,0.64,1.77,NI        
1613,1.0,0.0,33.0,I; jAp,0.0,10YR 4/2,3,2.65,C2,h3,Wf3,1.1,2.2,3.5,55.8,17.0,3.6,6.8,76.5,16.7,Ut3,1.55,1.55,3100.0,19.86,6.92,71.1,6.6,2.9099999999999997,2.9099999999999997,0.0,0.29000000000000004,NI        
1613,2.0,33.0,47.0,I; jM+jilCv,0.0,10YR 2/1,95,2.65,C2,h4,Wf3,1.6,3.0,4.8,53.2,15.9,3.8,9.5,72.9,17.6,Ut4,1.57,1.57,1570.0,22.83,6.99,72.0,6.7,3.0,3.0,0.0,0.3,NI        
1613,3.0,47.0,80.0,II; aSw,0.0,2.5Y 6/2,0,2.65,C0,h1,Wf1,1.4,10.6,19.1,54.6,6.3,0.6,31.1,61.5,7.4,Us,1.61,1.61,3220.0,20.71,7.12,57.0,6.69,1.7000000000000002,1.7000000000000002,0.0,0.1,NI        
1615,4.0,84.0,175.0,I; Sdg,0.59245283,10YR 6/4,0,2.65,C1,h0,Unknown,0.9,1.7,2.8,55.9,18.1,3.2,5.5,77.1,17.4,Ut4,1.39,1.4,1379.7,24.63,7.24,120.2,6.74,16.33,15.700000000000001,0.63,1.53,NI        
1615,1.0,0.0,35.0,I; Ap,0.708679245,10YR 3/3,0,2.65,C0,h2,Unknown,0.6,1.6,2.5,59.7,16.4,2.9,4.7,79.0,16.3,Ut3,1.41,1.42,2798.4,22.1,6.89,68.7,6.47,14.31,13.819999999999999,0.49,1.41,NI        
1615,2.0,35.0,60.0,I; Sw-Bv,0.107924528,10YR 4/3,0,2.65,C0,h1,Unknown,0.7,1.2,2.4,60.1,16.6,3.2,4.2,79.8,16.0,Ut3,1.56,1.56,1558.3,19.02,6.87,48.8,6.38,10.99,10.700000000000001,0.29000000000000004,1.12,NI        
1615,3.0,60.0,84.0,I; Bv-Sw,0.037735849,10YR 5/3,0,2.65,C0,h1,Unknown,0.3,0.7,2.0,60.9,16.7,2.8,3.0,80.4,16.6,Ut3,1.45,1.45,1449.5,16.75,6.93,30.9,6.43,6.28,6.28,0.0,0.72,NI        
1615,4.0,84.0,175.0,I; Sdg,0.126792453,10YR 6/4,0,2.65,C1,h0,Unknown,0.3,0.5,1.7,56.7,16.2,3.6,2.5,76.5,21.0,Ut4,1.45,1.45,1448.2,16.21,6.98,35.2,6.55,5.09,5.09,0.0,0.61,NI        
1615,1.0,0.0,35.0,I; Ap,0.0,10YR 3/3,0,2.65,C0,h2,Unknown,0.1,0.3,1.4,51.8,17.2,4.0,1.8,73.0,25.2,Tu4,1.43,1.43,1430.0,16.48,7.1,42.9,6.59,4.37,4.37,0.0,0.56,NI        
1615,2.0,35.0,60.0,I; Sw-Bv,0.090566038,10YR 4/3,0,2.65,C0,h1,Unknown,0.1,0.3,1.8,57.2,16.2,3.5,2.1,76.9,21.0,Ut4,1.48,1.48,1478.7,16.47,7.26,43.0,6.79,3.59,3.59,0.0,0.43999999999999995,NI        
1615,3.0,60.0,84.0,I; Bv-Sw,0.017358491,10YR 5/3,0,2.65,C0,h1,Unknown,0.0,0.2,1.5,53.6,20.7,4.1,1.6,78.4,20.0,Ut4,1.56,1.56,3119.5,14.77,7.38,46.8,6.91,1.8599999999999999,1.8599999999999999,0.0,0.27,NI        
1618,4.0,73.0,132.0,I; Swd-Bt,0.057358491,10YR 6/6,0,2.65,C0,h0,Wf2,0.4,1.0,1.4,60.2,21.3,4.7,2.8,86.2,11.0,Ut2,1.18,1.18,1148.3,18.33,7.35,85.2,6.95,13.33,13.33,0.0,1.25,NI        
1618,5.0,132.0,201.0,II; Sd,0.098867925,2.5Y 6/4,16,2.65,C0,h0,Unknown,0.4,1.0,1.4,58.6,22.2,5.0,2.7,85.8,11.5,Ut2,1.28,1.29,2554.0,19.81,7.22,94.2,6.7,14.030000000000001,14.030000000000001,0.0,1.18,NI        
1618,1.0,0.0,34.0,I; Ap,0.012830189,10YR 4/3,0,2.65,C0,h3,Wf4,0.1,0.7,1.1,61.4,21.5,4.6,1.8,87.4,10.8,Ut2,1.49,1.49,2979.6,12.57,7.75,83.5,7.29,4.1499999999999995,4.1499999999999995,0.0,0.42999999999999994,NI        
1618,2.0,34.0,48.0,I; Al,0.0,10YR 6/3,0,2.65,C0,h2,Wf3,0.0,0.5,1.0,54.1,21.3,3.6,1.5,79.0,19.5,Ut4,1.49,1.49,2980.0,12.26,7.92,57.0,7.3,1.6400000000000001,1.6400000000000001,0.0,0.26,NI        
1618,3.0,48.0,73.0,I; Al+Bt,0.0,7.5YR 5/6,0,2.65,C0,h0,Wf2,0.0,1.0,1.5,55.5,21.1,3.4,2.5,80.0,17.5,Ut4,1.57,1.57,4710.0,16.79,7.83,71.3,7.24,1.42,1.42,0.0,0.24,NI        
1619,4.0,49.0,73.0,I; aM3,0.0,10YR 3/3,0,2.65,C2,h4,Unknown,0.2,0.3,1.0,44.4,22.0,6.5,1.5,72.9,25.6,Tu4,1.01,1.01,1000.5,20.53,7.24,117.7,6.76,50.69,48.31,2.38,4.28,NI        
1619,5.0,73.0,201.0,I; aM4,0.0,10YR 4/2,0,2.65,C1,h4,Unknown,0.0,0.2,1.4,51.2,20.3,4.8,1.6,76.3,22.1,Ut4,1.29,1.29,2580.0,10.45,7.56,106.2,7.14,24.380000000000003,21.909999999999997,2.4699999999999998,2.27,NI        
1619,1.0,0.0,13.0,I; aAh,0.01509434,10YR 3/2,0,2.65,C2,h3,Unknown,0.3,1.2,2.0,29.0,23.6,9.5,3.4,62.1,34.5,Tu3,1.34,1.34,2679.6,18.53,7.54,99.9,7.04,27.91,26.43,1.48,2.9299999999999997,NI        
1619,2.0,13.0,27.0,I; aM1,0.0,10YR 4/2,0,2.65,C2,h3,Unknown,0.1,0.7,1.7,31.4,23.6,9.2,2.5,64.3,33.2,Tu3,1.3,1.3,2600.0,20.8,7.64,99.8,7.04,18.36,17.52,0.8400000000000001,2.07,NI        
1619,3.0,27.0,49.0,I; aM2,0.052075472,10YR 3/1,1,2.65,C2,h4,Unknown,0.1,0.8,2.1,13.2,19.6,13.6,3.0,46.4,50.6,Tu2,1.16,1.16,3478.2,28.88,7.77,89.0,7.26,18.52,18.09,0.42999999999999994,2.21,NI        
1619,4.0,49.0,73.0,I; aM3,0.0,10YR 3/3,0,2.65,C2,h4,Unknown,0.7,2.0,3.3,18.5,21.1,11.6,6.0,51.3,42.7,Tu3,1.27,1.48,6299.9,31.93,7.54,126.9,7.27,10.700000000000001,10.24,0.45999999999999996,1.27,NI        
1619,5.0,73.0,201.0,I; aM4,0.0,10YR 4/2,0,2.65,C1,h4,Unknown,1.1,2.5,11.4,39.6,16.7,5.4,14.9,61.7,23.4,Lu,1.5,1.48,7500.0,30.78,7.79,85.2,7.24,4.41,4.2299999999999995,0.18,0.5,NI        
1620,6.0,33.0,55.0,Unknown,6.058867925,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,2.4,11.1,15.2,31.2,11.3,5.6,28.6,48.1,23.3,Ls2,1.47,1.51,1376.9,18.56,6.76,121.4,6.45,12.889999999999999,12.02,0.8699999999999999,1.41,NI        
1620,1.0,0.0,32.0,I; Ah,4.067169811,5YR 4/3,2,2.65,C0,h2,Wf2,2.2,10.6,15.2,30.0,10.3,6.4,28.0,46.7,25.3,Lt2,1.48,1.5,2838.7,17.6,7.0,91.2,6.58,10.940000000000001,10.35,0.59,1.28,NI        
1620,2.0,32.0,69.0,II; Bv-ilCv,3.042264151,5YR 4/4,5,2.65,C0,h0,Wf1,0.8,6.3,14.9,13.3,8.8,12.2,22.0,34.4,43.6,Lt3,1.57,1.58,3044.5,21.78,7.31,54.1,6.75,3.37,3.05,0.32,0.72,NI        
1620,3.0,69.0,150.0,II; lCv,2.301132075,5YR 3/4,9,2.65,C2,h0,Wf0,2.2,21.0,23.0,9.7,4.6,6.0,46.2,20.3,33.5,Lts,1.61,1.61,3145.9,19.77,7.25,47.8,6.82,2.46,2.46,0.0,0.48,NI        
1620,4.0,33.0,55.0,Unknown,23.60530072,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,1.1,11.7,18.7,13.9,10.1,12.3,31.5,36.3,32.2,Lt2,1.56,1.48,3826.1,15.81,7.89,74.5,7.22,1.01,1.01,0.0,0.43999999999999995,NI        
1622,5.0,33.0,55.0,Unknown,1.2,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,1.5,28.9,16.0,32.3,8.9,2.0,46.3,43.2,10.5,Slu,1.39,1.39,1362.4,13.3,7.1,129.4,6.5,11.180000000000001,10.87,0.31,1.29,NI        
1622,1.0,0.0,34.0,I; Ap,1.273207547,10YR 4/3,1,2.65,C0,h2,Wf4,1.8,29.1,15.4,32.7,9.0,0.9,46.3,42.6,11.1,Slu,1.54,1.54,3040.8,10.49,7.15,75.7,6.57,8.59,8.07,0.52,0.96,NI        
1622,2.0,34.0,53.0,I; Sw-Bv,1.155471698,10YR 5/3,1,2.65,C1,h1,Wf2,1.6,30.7,16.8,31.0,8.1,1.4,49.1,40.6,10.3,Slu,1.66,1.66,3281.6,4.22,8.14,81.2,7.49,4.18,3.58,0.6,0.47,NI        
1622,3.0,53.0,71.0,I; Swd,3.113962264,10YR 4/4,2,2.65,C2,h0,Wf2,2.1,26.4,15.8,28.3,6.1,2.5,44.2,36.9,18.9,Ls3,1.52,1.53,2945.3,7.1,8.15,95.2,7.58,3.75,2.52,1.23,0.37,NI        
1622,4.0,71.0,100.0,II; elCv,0.353207547,10YR 8/2,4,2.65,C5,h0,Wf2,3.2,6.5,7.5,15.7,12.0,20.0,17.2,47.6,35.2,Lt3,1.66,1.67,4962.4,11.07,8.59,79.8,7.77,80.57000000000001,1.26,79.31,0.2,NI        
1627,5.0,33.0,55.0,Unknown,3.318490566,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,3.3,23.1,9.6,6.0,8.9,8.7,35.9,23.6,40.5,Lts,1.2,1.2,1153.8,25.81,7.48,161.0,6.94,28.2,25.52,2.68,2.9699999999999998,NI        
1627,6.0,33.0,55.0,Unknown,3.215849057,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,2.5,23.6,11.2,5.8,8.8,9.0,37.3,23.5,39.2,Lts,1.44,1.44,1393.7,26.42,7.56,143.2,7.04,23.27,20.28,2.9899999999999998,2.49,NI        
